stars,comment
1.0 out of 5 stars,"Very Low BrightnessPathetic Sound ( Speaker and Microphone)Fraud CompanyShould be Shut Down
            "
4.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Feature loaded, excellent camera, value for money pricing unlike other overpriced premium brands, high memory capacity, fast processor and large display.
            "
4.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Fingerprint is awsome.. n awsome ph ..n delivery is also good ..
            "
4.0 out of 5 stars,"Superb
            "
5.0 out of 5 stars,"Amazing
            "
1.0 out of 5 stars,"The silent button doesn’t work sometimes. Really didn’t expected this from One plus, as I had a great experience with the last one plus phone I had.
            "
5.0 out of 5 stars,"Too many positive reviews online so I am just gonna say""Boht hard""
            "
5.0 out of 5 stars,"Excellent 👍
            "
5.0 out of 5 stars,"Perfect phone
            "
3.0 out of 5 stars,"I have purchased 6gb varient on 8 April at price of 37999 and now the price is slashed by 3k...very disappointed with it...
            "
2.0 out of 5 stars,"I like the speed it performs but sad when it hangs.... Basically it reboots every now and then or minimises all the applications at times... Which is really frustrating.... Thank God it never happened when transferring money... Else it would have been a hovoc for me
            "
5.0 out of 5 stars,"Worth the price
            "
5.0 out of 5 stars,"Fingerprint is less effective
            "
5.0 out of 5 stars,"Nice awesome productBut not like iPhone...iPhone is iPhone ...
            "
5.0 out of 5 stars,"Fingerprint not recognise after some days..
            "
5.0 out of 5 stars,"super product
            "
5.0 out of 5 stars,"Very good phone
            "
5.0 out of 5 stars,"Disappointed with fingerprint scanner
            "
3.0 out of 5 stars,"Big promises paddled in nice product launching with favourable hype.I've been a fan of one plus. But it started failing my expectation.Faced issues like.1.Heating2. Average camera quality.3. I found Night light feature so far a bluff.
            "
5.0 out of 5 stars,"Very Good
            "
4.0 out of 5 stars,"Good
            "
1.0 out of 5 stars,"Hanging problem
            "
1.0 out of 5 stars,"I have received a defective piece with the camera lenses out of their alignment and also can't click pics as per the speed of the phone which it should be I paid 53 thousand for the fon and end up buying the piece with defective lenses
            "
4.0 out of 5 stars,"It's been around 3months since i moved into this marvel from my moto z play, till now this machine hasn't disappointed me a bit. Though the imaging department might need improvements, considering what i am getting for the price i paid, surely am completely satisfied. As advertised, this phone has been buttery smooth ever since though the in display fingerprint sensor can be a bit slow. Good to be part of the oneplus family....😊😉
            "
5.0 out of 5 stars,"Great phone at a great price ;)
            "
5.0 out of 5 stars,"Awesome mobile.
            "
5.0 out of 5 stars,"All things r good and nice .
            "
1.0 out of 5 stars,"This phone costs 33k in china after 4000 price cut in china. They are looting indian people with 42k. Lootera
            "
4.0 out of 5 stars,"2 months have passed i have the problem with the volume locker the switch is loose ,its slightly moving its irritating when you try to put it on silent or vibrate. Even if you not use it you can feel the play in the switch.😓
            "
5.0 out of 5 stars,"Awesome
            "
5.0 out of 5 stars,"Super
            "
5.0 out of 5 stars,"Mind-blowing Phone
            "
5.0 out of 5 stars,"For me I think it's the best.
            "
4.0 out of 5 stars,"Aswm phn
            "
5.0 out of 5 stars,"aaah ..what should i say ! perfect for mecamera awsm but u have to see images in amoled display ,display ; dammm those detailing n sharpness amazingprofessor: very fast n smooth ,never hang im not so happy with screen unlock 8/10 , could be betterone plus gives you  software updates regularly ,go for this 10/10 in this price range
            "
4.0 out of 5 stars,"Pretty good phone. Was an iphone user before. Switching to oneplus did make me feel worthy. Would not go for any other Andriod device other than Oneplus.
            "
1.0 out of 5 stars,"Just opened . Charged . Configured . Phone started getting heated up as soon as I took 2 photos
            "
5.0 out of 5 stars,"Its better phone so dashing and marvelous...
            "
3.0 out of 5 stars,"my loan installment is 7667 but on 1st april 7725 deduct in my account. answer me as soon as possible.
            "
5.0 out of 5 stars,"Nice
            "
5.0 out of 5 stars,"one plus makes that could make 95% of public happy . Best phone if you are gifting( you dont what's going to please )Fast charging, nice display, decent camera and gaming are plus point.could be better if was IP68 water resistant and wireless charging ( if you have wireless charger otherwise ignore)for 28k Lg g7 is a alternative ( i have that , bought one plus for someone else).
            "
5.0 out of 5 stars,"Nice mobile
            "
5.0 out of 5 stars,"I love to buy from amazon and this time one plus 6T mclaren edition completed my dream of flagship phines
            "
5.0 out of 5 stars,"Awesome phone.....can't get any better!!! ♥️♥️♥️
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Product is brilliant ,the only problem is that the phone is much heavy and bulky than 5t.
            "
5.0 out of 5 stars,"Fastest delivery ever! Ordered this product at night 11.45 pm and morning 8.30 the delivery guy calls me up to give the phone.No earphones in the box. Phone is really good 👍
            "
3.0 out of 5 stars,"The Oneplus 6t gets hanged frequently . It has not been a month and the phone is getting hang . Bad quality product . Plus there is no replacement option on Amazon
            "
5.0 out of 5 stars,"Guys if we are talking about the mobile then I must say within 37k this is the superb phone have brought it...1. Battery is really good2. Face recognition is also good3. Finger print sensor 5 star4 . Slim/low weight mobileHave used iPhone 6s but I must say I am enjoying using this One plus6T than iPhone..
            "
5.0 out of 5 stars,"This is waterproof or not
            "
5.0 out of 5 stars,"nice
            "
5.0 out of 5 stars,"Excellent product
            "
5.0 out of 5 stars,"Best buy
            "
4.0 out of 5 stars,"It's good battery backup and fine camera quality
            "
5.0 out of 5 stars,"Smarty
            "
4.0 out of 5 stars,"i happy with oneplus 6t, it is smart looking and i like the the finger print sensor and one dislike thing is they removed 3.5mm jack port but i am using BT so it doesn't effected me.overall i love this product, thanks to amazon.
            "
5.0 out of 5 stars,"The phone was amazing. Last 3 months i am using 6T. The performance was excellent.
            "
3.0 out of 5 stars,"I have used 2 OnePlus handsets before, their touch to unlock, performance, OS and fast charge are wonderful feature. 6T making the touch in screen has messed this element of the phone slow and unreliable. Several times, touch is not registered and not read properly.
            "
5.0 out of 5 stars,"Good phone camera like DSLR ,Good for pubg and other games ,no lagging , solid body,sound qualty so good. So purchase it
            "
2.0 out of 5 stars,"Battery backup is not good and generating heat
            "
5.0 out of 5 stars,"Low light
            "
3.0 out of 5 stars,"Not at mark. Usual.
            "
5.0 out of 5 stars,"I am satisfied by this phone.Amazon is delivered this product is must very fast.I am use this phone 20 to 25 daysall heroines kiss also very fast very smooth,After using this mobile, you do not need to use daily mobile,camera is averagegaming experience is smudbattery backup is good but PUBG playing screen on time only 3 to 4 hours screen on time.And the matter of a probation probation is that of mobile perfect screen guard Not available
            "
4.0 out of 5 stars,"One plus 6 is very good
            "
4.0 out of 5 stars,"The looks of the phone could have been better.
            "
5.0 out of 5 stars,"Everything is best must buy this phone.....OnePlus created heaven in just 38000
            "
1.0 out of 5 stars,"Battery performance is very poor and lasts for max 6 hrs. When complaint of it to Amazon they even not listening even though it's only 3 days of getting it from Amazon
            "
5.0 out of 5 stars,"No words.
            "
5.0 out of 5 stars,"Happy customer of OnePlus last 3 years
            "
5.0 out of 5 stars,"Camera in low light
            "
5.0 out of 5 stars,"awesome product
            "
4.0 out of 5 stars,"The phone is really very nice and the in-display fingerprint is excellent.
            "
5.0 out of 5 stars,"Very nice
            "
5.0 out of 5 stars,"very good
            "
5.0 out of 5 stars,"I love the device for it's responsiveness
            "
5.0 out of 5 stars,"NiceOntime delivery
            "
4.0 out of 5 stars,"I was using iPhone so I m not so happy with this as I compare.
            "
4.0 out of 5 stars,"Super
            "
5.0 out of 5 stars,"Nothing
            "
5.0 out of 5 stars,"Fantastic product
            "
5.0 out of 5 stars,"👍👍👍
            "
5.0 out of 5 stars,"One of the best phone I ever had. Thanks amazon.
            "
5.0 out of 5 stars,"Ultimate
            "
4.0 out of 5 stars,"Fingerprint scanned take so much time for unlock the mobile.
            "
2.0 out of 5 stars,"There's no sound in second speaker
            "
